bid_winner,bidders,order_value,tendor_bid_close_date,tendor_discription,tendor_issue_date,tendor_no,tendor_submission_date
INTERVALVE POONAWALLA LIMITED,"[{'S.no': '1', 'Vendor_code': '3616', 'Vendor_name': 'DEMBLA VALVES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3817', 'Vendor_name': 'HI TECH BUTTERFLY VALVES INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': 'A315', 'Vendor_name': 'ADVANCE VALVES PVT LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'C186', 'Vendor_name': 'CRANE PROCESS FLOW TECHNOLOGIES(INDIA) P', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': 'H108', 'Vendor_name': 'HAWA ENGINEERS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'I125', 'Vendor_name': 'INTERVALVE POONAWALLA LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'L001', 'Vendor_name': 'L & T VALVES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",2882884 INR,05-07-2021,MOTOR OPERATED VALVES - (BUTTERFLY VALVES),03-06-2021,B229-000-WB-MR-3221/74,13-DEC-2021
KRISHNA CHANDRAUPADHYAYA SECURITY AGENCY,"[{'S.no': '1', 'Vendor_code': '57553', 'Vendor_name': 'PAWAN ANAND SECURITY AGENCY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '57673', 'Vendor_name': 'KRISHNA CHANDRAUPADHYAYA SECURITY AGENCY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '57674', 'Vendor_name': 'PARMINDER SINGH SECURITY AGENCY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '57675', 'Vendor_name': 'VIJENDER KUMAR SANGWAN SECURITY AGENCY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '57676', 'Vendor_name': 'RAJAT PALIWAL SECURITY AGENCY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",2574802.8 INR,13-12-2021,"Contract for providing Security Services at RO/RPO, Vadodara",02-12-2021,LT/8590-000-SE-T-0203/164,29-DEC-2021
Orcina,"[{'S.no': '1', 'Vendor_code': '81976', 'Vendor_name': 'Orcina', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",12300 GBP,18-10-2021,AMC of ORCAFLEX Software,01-10-2021,8583-000-00-MR-8909/1004,31-DEC-2021
FUGRO BELGIUM SRL,"[{'S.no': '1', 'Vendor_code': '82238', 'Vendor_name': 'FUGRO BELGIUM SRL', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",35694 EUR,16-09-2021,Annual Maintenance Contract (AMC) of SAGE Profile Software,02-09-2021,8583-000-00-MR-8908/1003,29-DEC-2021
NORTH EAST ENGINEERING & CONSTRUCTION,"[{'S.no': '1', 'Vendor_code': '57678', 'Vendor_name': 'Amity Projects and Construction', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '2', 'Vendor_code': 'C047', 'Vendor_name': 'CHATTERJEE ENGINEERING', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '3', 'Vendor_code': 'N047', 'Vendor_name': 'NORTH EAST ENGINEERING & CONSTRUCTION', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '~16G', 'Vendor_name': 'SHILPI ENGINEERING PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",204658545.67 INR,02-11-2021,ISBL Composite Worksfor VRMP OBE,01-10-2021,JP/B015-000-MR-PQ-3007/1050,22-DEC-2021
Tansingh Chouhan,"[{'S.no': '1', 'Vendor_code': '57524', 'Vendor_name': 'AK GUPTA & COMPANY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '2', 'Vendor_code': '57525', 'Vendor_name': 'Aditya Enterprises', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '3', 'Vendor_code': '57526', 'Vendor_name': 'E5 Infrastructure Private  Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '57527', 'Vendor_name': 'SEPC limtied', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '5', 'Vendor_code': '57528', 'Vendor_name': 'Murari Lal Agarwal', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '6', 'Vendor_code': '57530', 'Vendor_name': 'VISHAL BUILDERS', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '57531', 'Vendor_name': 'Ram Kumar Contractor', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '8', 'Vendor_code': '57532', 'Vendor_name': 'SCC Infrastructure Pvt. Ltd.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': '57533', 'Vendor_name': 'SHIVA BUILDTECH PVT. LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': '57534', 'Vendor_name': 'RAVI INFRABUILD PROJECTS PVT. LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'B017', 'Vendor_name': 'BRIDGE AND ROOF COMPANY (INDIA) LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'M034', 'Vendor_name': 'MEHTA CONSTRUCTION COMPANY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '13', 'Vendor_code': 'V031', 'Vendor_name': 'VRC CONSTRUCTIONS (INDIA) PVT. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': '~12Q', 'Vendor_name': 'MANGLA AMIT BUILDERS PVT LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '15', 'Vendor_code': '~13Y', 'Vendor_name': 'CHEVROX CONSTRUCTIONS PRIVATE LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '16', 'Vendor_code': '~1BW', 'Vendor_name': 'SKB BUILDERS INDIA LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '17', 'Vendor_code': '~34Y', 'Vendor_name': 'RMS CONSTRUCTION PVT. LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '18', 'Vendor_code': '~47K', 'Vendor_name': 'MUNDAN CONSTRUCTION COMPANY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '19', 'Vendor_code': '~57C', 'Vendor_name': 'RAJENDRA SINGH BHAMBOO INFRA PVT LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '20', 'Vendor_code': '~81N', 'Vendor_name': 'RSB PROJECTS LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '21', 'Vendor_code': '~90N', 'Vendor_name': 'LNA Infraprojects Pvt. Ltd.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '22', 'Vendor_code': '~9TP', 'Vendor_name': 'SOM PROJECTS PRIVATE LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '23', 'Vendor_code': '~H25', 'Vendor_name': 'Subhash Infraengineers Pvt. Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '24', 'Vendor_code': '~L97', 'Vendor_name': 'BANSAL INFRATECH SYNERGIES', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '25', 'Vendor_code': '~LK1', 'Vendor_name': 'COMT Constructions Pvt. Ltd.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '26', 'Vendor_code': '~O64', 'Vendor_name': 'TUAMAN ENGINEERING LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '27', 'Vendor_code': '~V61', 'Vendor_name': 'DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '28', 'Vendor_code': '~V94', 'Vendor_name': 'Tansingh Chouhan', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",703441157.03 INR,12-08-2021,Balance Civil Works,21-06-2021,DC/B224-000-CQ-T-8022/28,14-DEC-2021
CONCEPT COMMUNICATION LTD.,"[{'S.no': '1', 'Vendor_code': '~Q93', 'Vendor_name': 'NATIONAL ADVERTISING AGENCY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '~Q95', 'Vendor_name': 'CONCEPT COMMUNICATION LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '~R04', 'Vendor_name': 'VERMILLION COMMUNICATION PVT. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '~~S6', 'Vendor_name': 'SANKET COMMUNICATIONS PRIVATE LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",340000 INR,22-11-2021,Supply of Electronic Lazer Mementos,11-11-2021,LT/8589-000-SE-T-0021/31,31-DEC-2021
Tansingh Chouhan,"[{'S.no': '1', 'Vendor_code': '57524', 'Vendor_name': 'AK GUPTA & COMPANY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '2', 'Vendor_code': '57532', 'Vendor_name': 'SCC Infrastructure Pvt. Ltd.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '3', 'Vendor_code': '57545', 'Vendor_name': 'Suroj Buildcon Private Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '57546', 'Vendor_name': 'Sarthi Construction', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '5', 'Vendor_code': '57549', 'Vendor_name': 'SEPC Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '6', 'Vendor_code': '57550', 'Vendor_name': 'Zuberi Engineering Construction Pvt Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'A088', 'Vendor_name': 'ANS CONSTRUCTIONS PRIVATE LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'B017', 'Vendor_name': 'BRIDGE AND ROOF COMPANY (INDIA) LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'R020', 'Vendor_name': 'RSB PROJECTS  LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'S021', 'Vendor_name': 'BANSAL INFRATECH SYNERGIES INDIA LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': '~12Q', 'Vendor_name': 'MANGLA AMIT BUILDERS PVT LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '12', 'Vendor_code': '~34Y', 'Vendor_name': 'RMS CONSTRUCTION PVT. LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '13', 'Vendor_code': '~87N', 'Vendor_name': 'VRC CONSTRUCTIONS (I) PVT. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': '~90N', 'Vendor_name': 'LNA Infraprojects Pvt. Ltd.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '15', 'Vendor_code': '~9TP', 'Vendor_name': 'SOM PROJECTS PRIVATE LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '16', 'Vendor_code': '~AN3', 'Vendor_name': 'DEVI ENGINEERING & CONSTRUCTIONS PVT. LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '17', 'Vendor_code': '~H25', 'Vendor_name': 'Subhash Infraengineers Pvt. Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '18', 'Vendor_code': '~H91', 'Vendor_name': 'SKB BUILDERS INDIA LIMITED, DELHI', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '19', 'Vendor_code': '~O64', 'Vendor_name': 'TUAMAN ENGINEERING LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '20', 'Vendor_code': '~V61', 'Vendor_name': 'DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '21', 'Vendor_code': '~V94', 'Vendor_name': 'Tansingh Chouhan', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",812832748 INR,31-08-2021,Civil works including EarthenReservoir & Gabion Wall,22-06-2021,AS/B229-000-CQ-T-8011/1017,22-DEC-2021
HEXAGON CAPABILITY CENTRE INDIA PVT LTD,"[{'S.no': '1', 'Vendor_code': '81567', 'Vendor_name': 'HEXAGON CAPABILITY CENTRE INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",9175693 INR,26-08-2021,Procurement and Annual Maintenance Contract (AMC) of Smart Plant P&ID Software Licenses,20-08-2021,8502-000-00-MR-8934/15,02-DEC-2021
DNV GL AS,"[{'S.no': '1', 'Vendor_code': '80744', 'Vendor_name': 'DNV GL AS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",867060 INR,20-08-2021,Renewal of Annual Maintenance Contract (AMC) of DNV Software,26-07-2021,8583-000-00-MR-8907/4,09-DEC-2021
LALIT PIPES & PIPES PRIVATE LIMITED,"[{'S.no': '1', 'Vendor_code': '3611', 'Vendor_name': 'JCO GAS PIPE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': '82158', 'Vendor_name': 'ALMECH ENGINEER', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': '82159', 'Vendor_name': 'THE MAITRI METALS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'L061', 'Vendor_name': 'LALIT PIPES & PIPES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'M188', 'Vendor_name': 'MUKAT TANKS & VESSELS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'R066', 'Vendor_name': 'RATNAMANI METALS AND TUBES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",588257287 INR,05-04-2021,"PIPE (WELDED):CS WELDED,  IS-3589,IS-3589 (GALV.)",23-02-2021,B229-000-WA-MR-3202/60,01-DEC-2021
MUKAT TANKS & VESSELS PVT LTD,"[{'S.no': '1', 'Vendor_code': '3611', 'Vendor_name': 'JCO GAS PIPE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': '82158', 'Vendor_name': 'ALMECH ENGINEER', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': '82159', 'Vendor_name': 'THE MAITRI METALS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'L061', 'Vendor_name': 'LALIT PIPES & PIPES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'M188', 'Vendor_name': 'MUKAT TANKS & VESSELS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'R066', 'Vendor_name': 'RATNAMANI METALS AND TUBES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",333374616.16 INR,05-04-2021,"PIPE (WELDED):CS WELDED,  IS-3589,IS-3589 (GALV.)",23-02-2021,B229-000-WA-MR-3202/60,01-DEC-2021
RATNAMANI METALS AND TUBES LTD,"[{'S.no': '1', 'Vendor_code': '3611', 'Vendor_name': 'JCO GAS PIPE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': '82158', 'Vendor_name': 'ALMECH ENGINEER', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': '82159', 'Vendor_name': 'THE MAITRI METALS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'L061', 'Vendor_name': 'LALIT PIPES & PIPES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'M188', 'Vendor_name': 'MUKAT TANKS & VESSELS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'R066', 'Vendor_name': 'RATNAMANI METALS AND TUBES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",486336699 INR,05-04-2021,"PIPE (WELDED):CS WELDED,  IS-3589,IS-3589 (GALV.)",23-02-2021,B229-000-WA-MR-3202/60,01-DEC-2021
